stem,pipeline,raw,parsed,gt,ok,conf
disc_07,P4_med_gauss_otsu_open,SX,SX,SXT,0,0.9684
disc_07,P5_med_gauss_unsharp_otsu_open,SX,SX,SXT,0,0.9684
disc_07,P6_med_gauss_highboost_otsu_open,SX,SX,SXT,0,0.9592
disc_07,P7_med_gauss_otsu_close_open_erode,SX,SX,SXT,0,0.9344
disc_07,P8_med_gauss_otsu_open_close,SX,SX,SXT,0,0.9127
disc_07,P9_med_gauss_lap_stretch_otsu_open,SX,SX,SXT,0,0.9592
disc_07,P10_med_clahe_gauss_otsu_open,SX,SX,SXT,0,0.9684
disc_07,P11_med_box_gauss_otsu_open_erode,SXT,SXT,SXT,1,0.7798
disc_07,P12_gauss_med_gauss_otsu_open_erode,SXT,SXT,SXT,1,0.9352
disc_08,P0_rim,VI 10,V 110,NN 10,0,1.2726
disc_08,P1_open,NN 10,NN 10,NN 10,1,1.9975
disc_08,P2_med_open,NN 10,NN 10,NN 10,1,1.9995
disc_08,P3_med_gauss_otsu,M 10,M 10,NN 10,0,1.8077
disc_08,P4_med_gauss_otsu_open,NN 10,NN 10,NN 10,1,1.9996
disc_08,P5_med_gauss_unsharp_otsu_open,NN 10,NN 10,NN 10,1,1.9996
disc_08,P6_med_gauss_highboost_otsu_open,NN 10,NN 10,NN 10,1,1.9995
disc_08,P7_med_gauss_otsu_close_open_erode,NA 10,NA 10,NN 10,0,1.1356
disc_08,P8_med_gauss_otsu_open_close,NN 10,NN 10,NN 10,1,1.9980
disc_08,P9_med_gauss_lap_stretch_otsu_open,NN 10,NN 10,NN 10,1,1.9995
disc_08,P10_med_clahe_gauss_otsu_open,NN 10,NN 10,NN 10,1,1.9996
disc_08,P11_med_box_gauss_otsu_open_erode,NN 10,NN 10,NN 10,1,1.9965
disc_08,P12_gauss_med_gauss_otsu_open_erode,NN 10,NN 10,NN 10,1,1.9969
disc_09,P0_rim,AY 10,AY 10,AM 10,0,1.4156
disc_09,P1_open,A 10,A 10,AM 10,0,1.3269
disc_09,P2_med_open,A 10,A 10,AM 10,0,1.0707
disc_09,P3_med_gauss_otsu,U 10,U 10,AM 10,0,1.0168
disc_09,P4_med_gauss_otsu_open,A 10,A 10,AM 10,0,1.5127
disc_09,P5_med_gauss_unsharp_otsu_open,A 10,A 10,AM 10,0,1.1117
disc_09,P6_med_gauss_highboost_otsu_open,A 10,A 10,AM 10,0,1.1134
disc_09,P7_med_gauss_otsu_close_open_erode,10,10,AM 10,0,1.0000
disc_09,P8_med_gauss_otsu_open_close,A4 10,A 410,AM 10,0,1.1619
disc_09,P9_med_gauss_lap_stretch_otsu_open,A 10,A 10,AM 10,0,1.1134
disc_09,P10_med_clahe_gauss_otsu_open,A 10,A 10,AM 10,0,1.5127
disc_09,P11_med_box_gauss_otsu_open_erode,10,10,AM 10,0,1.0000
disc_09,P12_gauss_med_gauss_otsu_open_erode,10,10,AM 10,0,0.9955
disc_10,P0_rim,30,30,CRO 30,0,0.9932
disc_10,P1_open,30,30,CRO 30,0,0.9758
disc_10,P2_med_open,3,3,CRO 30,0,0.9980
disc_10,P3_med_gauss_otsu,3,3,CRO 30,0,0.9989
disc_10,P4_med_gauss_otsu_open,3,3,CRO 30,0,0.9983
disc_10,P5_med_gauss_unsharp_otsu_open,3,3,CRO 30,0,0.9972
disc_10,P6_med_gauss_highboost_otsu_open,3,3,CRO 30,0,0.9980
disc_10,P7_med_gauss_otsu_close_open_erode,30,30,CRO 30,0,0.9995
disc_10,P8_med_gauss_otsu_open_close,3,3,CRO 30,0,0.9994
disc_10,P9_med_gauss_lap_stretch_otsu_open,3,3,CRO 30,0,0.9980
disc_10,P10_med_clahe_gauss_otsu_open,3,3,CRO 30,0,0.9972
disc_10,P11_med_box_gauss_otsu_open_erode,3,3,CRO 30,0,1.0000
disc_10,P12_gauss_med_gauss_otsu_open_erode,30,30,CRO 30,0,0.9925
disc_11,P0_rim,CZ 30,CZ 30,CZ 30,1,1.9688
disc_11,P1_open,CZ 30,CZ 30,CZ 30,1,1.9348
disc_11,P2_med_open,CZ 30,CZ 30,CZ 30,1,1.8589
disc_11,P3_med_gauss_otsu,CZ 30,CZ 30,CZ 30,1,1.8619
disc_11,P4_med_gauss_otsu_open,CZ 30,CZ 30,CZ 30,1,1.8462
disc_11,P5_med_gauss_unsharp_otsu_open,CZ 30,CZ 30,CZ 30,1,1.8089
disc_11,P6_med_gauss_highboost_otsu_open,CZ 30,CZ 30,CZ 30,1,1.8089
disc_11,P7_med_gauss_otsu_close_open_erode,CZ 30,CZ 30,CZ 30,1,1.9989
disc_11,P8_med_gauss_otsu_open_close,CZ 30,CZ 30,CZ 30,1,1.8189
disc_11,P9_med_gauss_lap_stretch_otsu_open,CZ 30,CZ 30,CZ 30,1,1.8589
disc_11,P10_med_clahe_gauss_otsu_open,CZ 30,CZ 30,CZ 30,1,1.8462
disc_11,P11_med_box_gauss_otsu_open_erode,CZ 30,CZ 30,CZ 30,1,1.9988
disc_11,P12_gauss_med_gauss_otsu_open_erode,CZ 30,CZ 30,CZ 30,1,1.9993
disc_12,P0_rim,CIP 5,CIP 5,CIP 5,1,1.4836
disc_12,P1_open,CIP 5,CIP 5,CIP 5,1,1.9855
disc_12,P2_med_open,CIP 5,CIP 5,CIP 5,1,1.9978
disc_12,P3_med_gauss_otsu,CIP 5,CIP 5,CIP 5,1,1.9958
disc_12,P4_med_gauss_otsu_open,CIP 5,CIP 5,CIP 5,1,1.9984
disc_12,P5_med_gauss_unsharp_otsu_open,CIP 5,CIP 5,CIP 5,1,1.9984
disc_12,P6_med_gauss_highboost_otsu_open,CIP 5,CIP 5,CIP 5,1,1.9984
disc_12,P7_med_gauss_otsu_close_open_erode,CIP 5,CIP 5,CIP 5,1,1.9996
disc_12,P8_med_gauss_otsu_open_close,CIP 5,CIP 5,CIP 5,1,1.9989
disc_12,P9_med_gauss_lap_stretch_otsu_open,CIP 5,CIP 5,CIP 5,1,1.9980
disc_12,P10_med_clahe_gauss_otsu_open,CIP 5,CIP 5,CIP 5,1,1.9984
disc_12,P11_med_box_gauss_otsu_open_erode,CIP 5,CIP 5,CIP 5,1,1.9924
disc_12,P12_gauss_med_gauss_otsu_open_erode,CIP 5,CIP 5,CIP 5,1,1.9967
